date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:23	714/714	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Dec%202022%2004:10:22%20GMT	https://www.piink.store/robots.txt		(from )
01:10:23	17909/17909	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2023:43:46%20GMT	https://www.piink.store/	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/index.html	(from )
01:10:23	1397/1397	---M--	200	added ('OK')	image/png	etag:%22575-62abdcba-1831ce;;;%22	https://www.piink.store/images/logos/favicon.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/logos/favicon.png	(from https://www.piink.store/)
01:10:23	1190/1190	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224b4-622672ba-18196e;gz%22	https://www.piink.store/assets/js/atranslator.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/js/atranslator.js	(from https://www.piink.store/)
01:10:23	164740/164740	---MCZ	200	added ('OK')	text/css	etag:W/%22322ee-63167854-1816bf;gz%22	https://www.piink.store/assets/css/style.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/css/style.css	(from https://www.piink.store/)
01:10:23	56529/56529	---MCZ	200	added ('OK')	text/css	etag:W/%22113e8-6191f646-18136d;gz%22	https://www.piink.store/assets/css/fontawesome.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/css/fontawesome.css	(from https://www.piink.store/)
01:10:24	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2235b5-O1t5BPT0vPVZWcLs71CCG9kRACE%22	https://cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	(from https://www.piink.store/)
01:10:24	56280/56280	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dbd8-Z7wG/Dw8ZucqijwBOkGbLEB7cgo%22	https://cdn.jsdelivr.net/gh/mcstudios/glightbox/dist/js/glightbox.min.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdn.jsdelivr.net/gh/mcstudios/glightbox/dist/js/glightbox.min.js	(from https://www.piink.store/)
01:10:24	13583/13583	---M--	200	added ('OK')	image/png	etag:%22350f-6213b6fc-1831cd;;;%22	https://www.piink.store/images/logos/2.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/logos/2.png	(from https://www.piink.store/)
01:10:24	12808/12808	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2000:38:52%20GMT	https://www.piink.store/404	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/404.html	(from https://www.piink.store/)
01:10:25	55031/55031	---M--	200	added ('OK')	image/png	etag:%22d6f7-621ec88c-1831c8;;;%22	https://www.piink.store/images/arts/1.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/arts/1.png	(from https://www.piink.store/)
01:10:25	10551/10551	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:25%20GMT	https://www.piink.store/produtos/	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/index.html	(from https://www.piink.store/)
01:10:25	1701593/1701593	---M--	200	added ('OK')	image/png	etag:%2219f6d9-62115c6a-1831d4;;;%22	https://www.piink.store/images/servicos/4.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/servicos/4.png	(from https://www.piink.store/)
01:10:25	246391/246391	---M--	200	added ('OK')	image/png	etag:%223c277-621f1670-1831d3;;;%22	https://www.piink.store/images/servicos/3.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/servicos/3.png	(from https://www.piink.store/)
01:10:26	393315/393315	---M--	200	added ('OK')	image/png	etag:%2260063-62115cdc-1831d2;;;%22	https://www.piink.store/images/servicos/1.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/servicos/1.png	(from https://www.piink.store/)
01:10:26	14377/14377	---M--	200	added ('OK')	image/jpeg	etag:%223829-62abb40e-1831cb;;;%22	https://www.piink.store/images/clientes/1.jpg	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/images/clientes/1.jpg	(from https://www.piink.store/)
01:10:26	717/717	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2031%20Dec%202022%2004:10:26%20GMT	https://www.piink.store/produtos	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos	(from https://www.piink.store/)
01:10:26	717/717	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2031%20Dec%202022%2004:10:26%20GMT	https://www.piink.store/produtos	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos	(from https://www.piink.store/)
01:10:26	717/717	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2031%20Dec%202022%2004:10:26%20GMT	https://www.piink.store/produtos	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos	(from https://www.piink.store/)
01:10:27	7438/7438	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2023:43:46%20GMT	https://www.piink.store/termos	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/termos.html	(from https://www.piink.store/)
01:10:27	4678/4678	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2023:43:46%20GMT	https://www.piink.store/ativarmod	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/ativarmod.html	(from https://www.piink.store/)
01:10:27	7363/7363	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2023:43:46%20GMT	https://www.piink.store/tutorial	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/tutorial.html	(from https://www.piink.store/)
01:10:27	78743/78743	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213397-6191f646-182699;gz%22	https://www.piink.store/assets/js/bootstrap.bundle.min.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/js/bootstrap.bundle.min.js	(from https://www.piink.store/)
01:10:29	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-6191f646-182c78;gz%22	https://www.piink.store/assets/webfonts/fa-brands-400.eot	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:29	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-6191f646-182c78;gz%22	https://www.piink.store/assets/webfonts/fa-brands-400.eot?	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400d41d.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:29	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%2212bdc-6191f646-182c80;;;%22	https://www.piink.store/assets/webfonts/fa-brands-400.woff2	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400.woff2	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:29	857155/857155	---M--	200	added ('OK')	image/png	etag:%222c72df40c2ab05dd1eabf3aafd7f4bea%22	https://i.imgur.com/KHl1qJL.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/i.imgur.com/KHl1qJL.png	(from https://www.piink.store/assets/css/style.css)
01:10:29	90060/90060	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2215fcc-6191f646-182c7e;;;%22	https://www.piink.store/assets/webfonts/fa-brands-400.woff	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400.woff	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:29	134040/134040	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2220b98-6191f646-182c7c;gz%22	https://www.piink.store/assets/webfonts/fa-brands-400.ttf	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400.ttf	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:29	747545/747545	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b6819-6191f646-182c7a;gz%22	https://www.piink.store/assets/webfonts/fa-brands-400.svg	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-brands-400.svg	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:30	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-6191f646-182c82;gz%22	https://www.piink.store/assets/webfonts/fa-regular-400.eot	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:30	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-6191f646-182c82;gz%22	https://www.piink.store/assets/webfonts/fa-regular-400.eot?	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400d41d.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:30	13276/13276	---M--	200	added ('OK')	font/woff2	etag:%2233dc-6191f646-182c8a;;;%22	https://www.piink.store/assets/webfonts/fa-regular-400.woff2	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400.woff2	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:30	16276/16276	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223f94-6191f646-182c88;;;%22	https://www.piink.store/assets/webfonts/fa-regular-400.woff	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400.woff	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:31	33736/33736	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2283c8-6191f646-182c86;gz%22	https://www.piink.store/assets/webfonts/fa-regular-400.ttf	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400.ttf	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:31	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	etag:%222354a-6191f646-182c84;gz%22	https://www.piink.store/assets/webfonts/fa-regular-400.svg	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-regular-400.svg	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:31	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-6191f646-182c8c;gz%22	https://www.piink.store/assets/webfonts/fa-solid-900.eot	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:31	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-6191f646-182c8c;gz%22	https://www.piink.store/assets/webfonts/fa-solid-900.eot?	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900d41d.eot	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:31	78196/78196	---M--	200	added ('OK')	font/woff2	etag:%2213174-6191f646-182c94;;;%22	https://www.piink.store/assets/webfonts/fa-solid-900.woff2	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900.woff2	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:32	101652/101652	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2218d14-6191f646-182c92;;;%22	https://www.piink.store/assets/webfonts/fa-solid-900.woff	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900.woff	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:32	202744/202744	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22317f8-6191f646-182c90;gz%22	https://www.piink.store/assets/webfonts/fa-solid-900.ttf	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900.ttf	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:32	918991/918991	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e05cf-6191f646-182c8e;gz%22	https://www.piink.store/assets/webfonts/fa-solid-900.svg	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/assets/webfonts/fa-solid-900.svg	(from https://www.piink.store/assets/css/fontawesome.css)
01:10:33	162764/162764	---M-Z	200	added ('OK')	text/css	etag:W/%2227bcc-BZIWlzlsFSRVBPxM7BbsU0yOz/8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/css/bootstrap.min.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/css/bootstrap.min.css	(from https://www.piink.store/produtos/)
01:10:33	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://www.piink.store/produtos/)
01:10:33	78871/78871	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213417-CF7M/QNtoe32ATiKaM/lyzFrHiw%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	(from https://www.piink.store/produtos/)
01:10:33	3329/3329	---MCZ	200	added ('OK')	text/css	etag:W/%22f91-63167424-18352c;gz%22	https://www.piink.store/produtos/assets/css/style_prod.css	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/assets/css/style_prod.css	(from https://www.piink.store/produtos/)
01:10:35	2576/2576	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cee-a10%22	https://cdnjs.cloudflare.com/ajax/libs/Counter-Up/1.0.0/jquery.counterup.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdnjs.cloudflare.com/ajax/libs/Counter-Up/1.0.0/jquery.counterup.js	(from https://www.piink.store/produtos/)
01:10:35	17548/17548	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-448c%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/jquery.waypoints.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/jquery.waypoints.js	(from https://www.piink.store/produtos/)
01:10:35	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/code.jquery.com/jquery-3.4.1.js	(from https://www.piink.store/produtos/)
01:10:35	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Sat,%2031%20Dec%202022%2004:10:35%20GMT	https://cdn.icon-icons.com/icons2/943/PNG/512/shoppaymentorderbuy-10_icon-icons.com_73874.png	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/cdn.icon-icons.com/icons2/943/PNG/512/shoppaymentorderbuy-10_icon-icons.com_73874.2e.delayed	(from https://www.piink.store/produtos/)
01:10:35	7251/7251	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:35%20GMT	https://www.piink.store/produtos/detalhes?id=11	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes0055.html	(from https://www.piink.store/produtos/)
01:10:36	7247/7247	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:36%20GMT	https://www.piink.store/produtos/detalhes?id=12	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes4ef9.html	(from https://www.piink.store/produtos/)
01:10:36	7257/7257	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:36%20GMT	https://www.piink.store/produtos/detalhes?id=13	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes6e03.html	(from https://www.piink.store/produtos/)
01:10:36	7380/7380	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:36%20GMT	https://www.piink.store/produtos/detalhes?id=14	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes87f1.html	(from https://www.piink.store/produtos/)
01:10:36	7338/7338	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:36%20GMT	https://www.piink.store/produtos/detalhes?id=15	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes7429.html	(from https://www.piink.store/produtos/)
01:10:37	7329/7329	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:37%20GMT	https://www.piink.store/produtos/detalhes?id=16	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes2728.html	(from https://www.piink.store/produtos/)
01:10:37	7381/7381	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Dec%202022%2004:10:37%20GMT	https://www.piink.store/produtos/detalhes?id=17	C:/Users/Patrick/Desktop/sites%20clonados/pinkstore/store/www.piink.store/produtos/detalhes190a.html	(from https://www.piink.store/produtos/)
